animalID,dateID,run
DL47,160928,1
DL47,160928,2
DL47,160928,3
DL47,160928,4
DL47,160928,5
DL47,160930,1
DL47,160930,2
DL47,160930,3
DL47,160930,4
DL47,160930,5
DL47,160930,6
DL47,160930,7
DL47,160930,8
DL47,161005,2
DL47,161005,3
DL47,161005,4
DL56,161120,1
DL56,161120,2
DL56,161121,1
DL56,161121,2
DL56,161122,1
DL56,161122,2
DL56,161123,1
DL56,161123,2
DL56,161124,1
DL56,161124,2
DL56,161125,2
DL56,161125,3
DL56,161126,1
DL56,161126,2
DL56,161127,2
DL56,161127,3
DL56,161128,2
DL56,161128,3
DL56,161129,1
DL56,161129,2
DL56,161130,1
DL56,161130,2
DL56,161201,2
DL56,161201,3
DL56,161201,4
DL56,161201,5
DL56,161201,6
DL56,161201,7
DL56,161201,8
DL56,161201,9
DL56,161201,10
DL56,161201,11
DL56,161210,1
DL56,161210,2
DL56,161214,1
DL56,161214,2
DL59,161220,1
DL59,161220,2
